ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
430,842.408,1406.66,17.0694,0.001,1.28,1.063,0.019,0.024,0.83,1
447,1003.05,1754.26,17.07,0.001,1.265,0.991,0.02,0.023,0.83,1
421,1016.08,1278.24,17.0737,0.0012,1.362,1.139,0.019,0.027,0.83,1
431,509.961,1071.72,17.0993,0.0015,1.396,1.117,0.022,0.027,0.83,1
427,696.964,1275.48,17.0996,0.0013,1.537,1.348,0.02,0.033,0.83,1
442,791.817,1409.12,17.1071,0.0012,1.227,1.092,0.019,0.025,0.83,1
436,1232.03,1086.84,17.1106,0.0012,1.55,1.323,0.022,0.035,0.83,1
459,426.719,1240.62,17.1261,0.0012,2.018,1.671,0.025,0.055,0.83,1
450,1667.54,1336.95,17.1281,0.0009,1.413,1.14,0.019,0.032,0.83,1
468,1282.55,1511.75,17.2081,0.0011,1.31,1.109,0.023,0.03,0.83,1
508,962.845,1249.47,17.3223,0.001,1.479,1.278,0.023,0.036,0.83,1
527,1216.03,1813.19,17.3798,0.001,1.513,1.356,0.025,0.041,0.83,1
552,903.811,1177.28,17.505,0.0012,1.532,1.343,0.026,0.047,0.83,1
608,1171.63,1099.27,17.6424,0.0013,1.838,1.58,0.032,0.071,0.83,1
626,946.896,1157.18,17.7259,0.0014,1.587,1.398,0.029,0.058,0.83,1
631,1289.22,1413.88,17.7419,0.0014,1.532,1.273,0.033,0.049,0.83,1
693,1219.47,1550.59,17.8143,0.0017,1.49,1.329,0.032,0.057,0.83,1
307,1341.26,1722.04,16.6162,0.0008,1.519,1.294,0.013,0.022,0.82,1
341,1656.34,1592.24,16.7365,0.0008,1.328,1.132,0.015,0.02,0.82,1
366,1008.2,1742.31,16.8053,0.0009,1.261,1.044,0.015,0.02,0.82,1
370,1302.3,1314.17,16.8873,0.0009,1.34,1.204,0.017,0.026,0.82,1
373,1328.77,1555.93,16.8904,0.0009,1.358,1.063,0.03,0.041,0.82,1
406,837.796,655.356,16.9434,0.0012,1.427,1.294,0.022,0.031,0.82,1
388,1146.76,1171.24,17.0315,0.0025,2.139,1.476,0.021,0.046,0.82,1
415,1110.86,1380.94,17.0654,0.0011,1.523,1.368,0.021,0.033,0.82,1
413,939.515,1042.68,17.0704,0.0017,1.499,1.181,0.019,0.026,0.82,1
455,1405.68,1610.73,17.1271,0.001,1.588,1.324,0.02,0.034,0.82,1
439,1622.82,1424.17,17.1592,0.0011,1.509,1.276,0.023,0.034,0.82,1
478,1008.61,1239.79,17.1897,0.001,1.453,1.21,0.022,0.032,0.82,1
483,1027.78,1393.03,17.2306,0.001,1.365,1.087,0.022,0.033,0.82,1
561,591.353,1087.5,17.4275,0.0011,2.035,1.677,0.037,0.07,0.82,1
545,1505.94,1138.53,17.4434,0.0015,1.586,1.408,0.028,0.043,0.82,1
565,1590.86,856.391,17.5929,0.0017,1.806,1.647,0.04,0.079,0.82,1
867,1318.08,1307.28,18.2365,0.0022,1.483,1.409,0.054,0.088,0.82,1
937,497.097,1232.44,18.4294,0.0021,1.593,1.377,0.06,0.096,0.82,1
502,1309.09,1016.53,17.3436,0.001,1.928,1.719,0.025,0.054,0.81,1
887,900.312,1058.74,18.256,0.0019,1.64,1.457,0.05,0.091,0.8,1
793,774.074,1356.21,18.1474,0.0018,1.725,1.343,0.056,0.089,0.96,0
255,781.896,1471.92,16.3182,0.0007,1.214,0.988,0.011,0.013,0.95,0
1,1364.51,1383.14,11.233,0.0012,0.54,0.436,0.003,0.002,0.94,0
