ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
908,1572.36,1223.44,18.258,0.022,0.934,0.037,99.0,99.0,0.547,0.026,1.075,0.033,154.23678058414012,-58.71186384577622
909,1112.22,1782.19,18.262,0.024,1.103,0.042,99.0,99.0,0.659,0.027,1.328,0.032,154.30903244342164,-58.66534138951789
910,1184.78,584.849,18.265,0.035,1.08,0.06,99.0,99.0,0.692,0.04,1.294,0.05,154.29926851862353,-58.76433557154875
911,1631.44,280.689,18.268,0.023,1.488,0.063,99.0,99.0,0.856,0.025,1.698,0.029,154.22831709895337,-58.789848398556515
912,185.137,606.688,18.268,0.023,1.263,0.049,99.0,99.0,0.797,0.026,1.614,0.029,154.45822714552764,-58.76157514683384
913,1595.67,1835.65,18.269,0.024,1.043,0.043,99.0,99.0,0.641,0.026,1.242,0.034,154.23219431272997,-58.661296117012476
914,1661.58,637.665,18.27,0.023,1.06,0.044,99.0,99.0,0.708,0.026,1.382,0.038,154.22320921925484,-58.760352606896866
915,1615.54,281.1,18.27,0.023,1.082,0.051,99.0,99.0,0.601,0.028,1.207,0.032,154.23085566883597,-58.78980204359391
916,1314.59,615.012,18.27,0.023,1.101,0.049,99.0,99.0,0.644,0.029,1.235,0.034,154.27855283164266,-58.761951191826824
917,1102.63,1903.2,18.271,0.026,1.128,0.049,99.0,99.0,0.615,0.028,1.197,0.035,154.31032938108228,-58.65533964111146
918,992.445,198.935,18.276,0.029,1.431,0.053,99.0,99.0,0.884,0.031,1.735,0.033,154.3303377084576,-58.796069824401606
919,623.578,512.339,18.278,0.024,1.143,0.042,99.0,99.0,0.659,0.027,1.346,0.031,154.38869255924996,-58.76981634317843
1197,1453.95,101.402,18.918,0.057,1.241,0.114,99.0,99.0,0.615,0.064,1.191,0.079,154.25679301024869,-58.80453422790539
921,1159.34,404.152,18.279,0.018,1.309,0.054,99.0,99.0,0.673,0.024,1.426,0.026,154.30352084219987,-58.7792516741839
922,1477.29,397.799,18.279,0.03,1.105,0.049,99.0,99.0,0.614,0.035,1.213,0.046,154.25282568420226,-58.78004239129932
923,1666.05,1488.82,18.282,0.022,1.001,0.042,99.0,99.0,0.751,0.025,1.302,0.03,154.22152101045822,-58.69000190832843
924,1964.71,424.29,18.284,0.025,1.168,0.041,99.0,99.0,0.717,0.027,1.38,0.035,154.17498441815746,-58.778218228813884
