ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
179,883.766,1903.87,14.95,0.011,0.573,0.015,-0.096,0.013,0.399,0.015,0.722,0.02,156.0044322391812,-60.088588306197
180,656.203,437.361,14.951,0.01,0.378,0.013,-0.669,0.01,0.311,0.013,0.594,0.016,156.04453655266877,-60.209459881155986
181,1033.32,1423.44,14.956,0.01,0.382,0.012,-0.003,0.01,0.294,0.012,0.555,0.014,155.98041807055205,-60.12847394027984
182,522.695,95.519,14.956,0.013,0.603,0.018,0.037,0.014,0.409,0.017,0.776,0.02,156.06730649529283,-60.237505693435914
343,1287.42,1266.74,15.72,0.005,0.413,0.008,0.099,0.016,0.339,0.008,0.638,0.009,155.9385257699197,-60.14167698870038
184,945.316,260.692,14.963,0.013,2.089,0.018,99.0,99.0,1.526,0.016,3.213,0.018,155.99680178703147,-60.22421569488342
185,392.813,380.536,14.972,0.012,0.628,0.015,0.511,0.017,0.445,0.016,0.879,0.019,156.08834866964992,-60.21395697042855
186,1762.69,30.507,14.976,0.014,0.611,0.019,-0.126,0.013,0.404,0.018,0.784,0.022,155.86104660447566,-60.24380642803931
187,980.218,1194.48,14.982,0.003,0.602,0.005,-0.147,0.008,0.432,0.006,0.779,0.006,155.9895632136289,-60.147322555487676
188,1004.99,501.558,14.988,0.012,0.396,0.016,0.066,0.014,0.307,0.016,0.561,0.018,155.9865125926354,-60.204449419112805
190,1294.2,1960.48,14.992,0.011,1.368,0.013,1.101,0.049,0.812,0.014,1.489,0.018,155.93646174902543,-60.084385209332765
189,1992.08,1195.64,14.992,0.009,0.51,0.014,0.181,0.015,0.366,0.011,0.675,0.012,155.82161878625627,-60.14834969489923
191,449.736,772.626,14.993,0.01,1.813,0.014,99.0,99.0,1.111,0.012,2.094,0.018,156.07818956976178,-60.18167039857469
192,2014.3,762.994,14.994,0.012,0.154,0.017,0.296,0.016,0.283,0.016,0.553,0.017,155.81835297714235,-60.18395360157595
2702,1964.14,1541.34,19.303,0.049,1.043,0.094,99.0,99.0,0.789,0.056,1.519,0.061,155.8259145426005,-60.119840750063794
194,419.758,564.582,14.997,0.01,0.476,0.014,0.074,0.013,0.34,0.014,0.606,0.031,156.08353946911828,-60.198806823059336
195,147.546,555.956,15.005,0.01,1.265,0.014,0.962,0.035,0.747,0.015,1.332,0.025,156.12867923415797,-60.19933582643151
196,1269.57,1718.81,15.012,0.009,0.537,0.013,-0.053,0.013,0.394,0.013,0.698,0.017,155.94086676890376,-60.10433472650183
197,798.595,1856.28,15.012,0.012,0.571,0.016,0.01,0.015,0.429,0.016,0.778,0.02,156.01858835596153,-60.09243426672188
198,1568.3,1477.57,15.016,0.006,0.362,0.008,-0.011,0.01,0.327,0.009,0.606,0.011,155.89166885726948,-60.12460484951555
199,791.438,337.3,15.019,0.013,0.727,0.017,0.163,0.016,0.49,0.017,0.94,0.02,156.0222482385911,-60.217797219248055
200,976.346,1101.32,15.025,0.003,0.398,0.005,-0.322,0.007,0.346,0.005,0.649,0.006,155.9903476872545,-60.155005591733556
201,473.322,61.84,15.026,0.014,1.336,0.018,1.143,0.044,0.768,0.018,1.457,0.02,156.0755690078415,-60.24024589485471
