radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
186.006027,0.345,-61.799675,0.271,14.91,0.032,4,15.471,0.018,4,NA,NA,0,15.199,0.002,3,14.809,0.045,3,14.688,0.093,3,NA,NA,0,NA,NA,0
186.006099,0.065,-61.481467,0.117,NA,NA,0,NA,NA,0,NA,NA,0,17.706,0.211,1,17.037,0.293,1,NA,NA,0,NA,NA,0,NA,NA,0
186.006106,0.33,-61.974606,0.29,NA,NA,0,NA,NA,0,NA,NA,0,17.753,0.007,2,16.909,0.094,2,NA,NA,0,NA,NA,0,NA,NA,0
186.006672,0.42,-61.418907,0.393,13.858,0.052,4,14.612,0.022,4,NA,NA,0,14.209,0.022,4,13.683,0.025,4,13.479,0.04,4,13.541,0.22,1,NA,NA,0
186.006722,0.141,-62.145126,0.153,15.471,0.042,4,16.545,0.034,4,NA,NA,0,15.926,0.042,4,15.109,0.046,4,14.77,0.062,4,NA,NA,0,NA,NA,0
186.006761,0.349,-62.35564,0.396,16.987,0.184,1,18.328,0.406,1,NA,NA,0,17.406,0.066,2,16.517,0.004,2,16.196,0.278,1,NA,NA,0,NA,NA,0
186.006783,0.368,-62.078483,0.445,15.902,0.1,3,16.713,0.128,3,NA,NA,0,16.32,0.026,4,15.418,0.087,4,15.223,0.092,2,NA,NA,0,NA,NA,0
186.006828,0.281,-62.313774,0.248,16.421,0.256,3,17.502,0.139,3,NA,NA,0,16.868,0.097,4,16.083,0.323,4,15.555,0.2,2,NA,NA,0,NA,NA,0
186.007242,0.189,-62.000351,0.188,17.092,0.19,1,17.743,0.209,1,NA,NA,0,17.794,0.156,1,16.777,0.166,1,NA,NA,0,NA,NA,0,NA,NA,0
186.007292,0.243,-61.485189,0.225,14.593,0.072,4,16.405,0.088,4,NA,NA,0,15.435,0.02,4,14.003,0.043,4,13.382,0.068,4,13.154,0.16,1,NA,NA,0
186.007368,0.436,-61.896019,0.381,13.036,0.032,4,13.417,0.018,4,NA,NA,0,13.181,0.013,3,12.973,0.013,2,12.79,0.074,2,12.708,0.013,2,NA,NA,0
186.007423,0.019,-61.912448,0.21,16.067,0.091,1,17.127,0.134,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
186.007468,0.304,-62.190679,0.274,15.684,0.05,1,16.433,0.065,1,NA,NA,0,15.997,0.031,4,15.327,0.042,4,15.082,0.065,3,NA,NA,0,NA,NA,0
186.007637,0.204,-62.265309,0.201,15.631,0.053,1,17.788,0.219,1,NA,NA,0,16.733,0.016,4,14.805,0.024,4,13.895,0.025,4,NA,NA,0,NA,NA,0
186.007774,0.282,-61.491772,0.266,13.627,0.036,4,15.021,0.016,4,NA,NA,0,14.292,0.015,4,13.182,0.038,4,12.652,0.049,4,12.631,0.033,2,NA,NA,0
186.008076,0.14,-61.635432,0.404,15.364,0.055,1,16.204,0.069,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
186.008328,0.335,-61.430333,0.119,15.106,0.069,4,16.043,0.06,4,NA,NA,0,15.559,0.033,4,14.769,0.018,4,14.415,0.027,3,NA,NA,0,NA,NA,0
186.008504,0.423,-61.454862,0.215,14.405,0.039,4,15.059,0.037,4,NA,NA,0,14.704,0.017,4,14.22,0.045,4,14.007,0.059,4,NA,NA,0,NA,NA,0
186.008613,0.857,-61.749265,0.293,NA,NA,0,NA,NA,0,NA,NA,0,17.644,0.081,2,16.327,0.006,2,15.378,0.055,2,NA,NA,0,NA,NA,0
186.008648,0.351,-62.160384,0.244,14.899,0.034,3,15.834,0.051,3,NA,NA,0,15.34,0.034,4,14.601,0.04,3,14.249,0.08,4,NA,NA,0,NA,NA,0
186.008733,0.114,-61.719352,0.157,NA,NA,0,NA,NA,0,NA,NA,0,17.166,0.014,2,15.722,0.058,2,15.072,0.078,2,NA,NA,0,NA,NA,0
186.008916,0.248,-62.208575,0.159,14.426,0.027,4,15.062,0.035,4,NA,NA,0,14.703,0.029,4,14.19,0.04,4,13.993,0.042,4,NA,NA,0,NA,NA,0
186.009616,0.014,-62.111003,0.242,15.853,0.162,1,16.56,0.239,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
186.009706,0.331,-61.602244,0.178,16.291,0.037,3,17.081,0.065,3,NA,NA,0,16.751,0.074,4,16.171,0.065,4,16.032,0.133,2,NA,NA,0,NA,NA,0
186.009711,0.091,-61.871128,0.134,15.034,0.027,3,15.676,0.018,3,NA,NA,0,15.313,0.031,2,14.84,0.001,2,14.579,0.013,2,NA,NA,0,NA,NA,0
186.009723,0.606,-62.298493,0.473,NA,NA,0,NA,NA,0,NA,NA,0,17.622,0.01,2,15.723,0.067,1,14.64,0.033,2,NA,NA,0,NA,NA,0
186.009732,0.285,-61.372218,0.343,16.165,0.101,2,17.986,0.055,2,NA,NA,0,17.007,0.047,5,15.515,0.048,5,14.809,0.065,5,NA,NA,0,NA,NA,0
186.009916,0.209,-62.183049,0.207,16.083,0.106,3,17.059,0.13,3,NA,NA,0,16.576,0.175,4,15.667,0.095,4,15.274,0.146,4,NA,NA,0,NA,NA,0
186.009925,0.326,-61.62239,0.21,16.395,0.128,1,17.631,0.223,1,NA,NA,0,17.11,0.045,2,16.044,0.091,2,15.826,0.096,2,NA,NA,0,NA,NA,0
